Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Best Hyperparameters,Label Mapping
Decision Tree,0.7538,0.4166,0.8084,0.7538,0.7672,,1.7897,"{'max_depth': None, 'min_samples_split': 2}","{0: np.int64(0), 1: np.int64(1), 2: np.int64(2), 3: np.int64(3), 4: np.int64(4), 5: np.int64(5), 6: np.int64(6), 7: np.int64(7), 8: np.int64(8), 9: np.int64(9), 10: np.int64(10), 11: np.int64(11), 12: np.int64(12), 13: np.int64(13), 14: np.int64(14), 15: np.int64(15), 16: np.int64(16), 17: np.int64(17), 18: np.int64(18), 19: np.int64(19), 20: np.int64(20), 21: np.int64(21), 22: np.int64(22), 23: np.int64(23), 24: np.int64(24), 25: np.int64(25), 26: np.int64(26), 27: np.int64(27), 28: np.int64(28), 29: np.int64(29), 30: np.int64(30), 31: np.int64(31), 32: np.int64(32), 33: np.int64(33), 34: np.int64(34), 35: np.int64(35), 36: np.int64(36), 37: np.int64(37), 38: np.int64(38), 39: np.int64(39), 40: np.int64(40), 41: np.int64(41), 42: np.int64(42), 43: np.int64(43), 44: np.int64(44), 45: np.int64(45), 46: np.int64(46), 47: np.int64(47), 48: np.int64(48), 49: np.int64(49), 50: np.int64(50), 51: np.int64(51), 52: np.int64(52), 53: np.int64(53), 54: np.int64(54), 55: np.int64(55), 56: np.int64(57), 57: np.int64(58), 58: np.int64(59), 59: np.int64(60), 60: np.int64(62), 61: np.int64(63), 62: np.int64(64), 63: np.int64(65)}"
Logistic Regression,0.8185,0.4707,0.837,0.8185,0.8135,,2.2382,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}","{0: np.int64(0), 1: np.int64(1), 2: np.int64(2), 3: np.int64(3), 4: np.int64(4), 5: np.int64(5), 6: np.int64(6), 7: np.int64(7), 8: np.int64(8), 9: np.int64(9), 10: np.int64(10), 11: np.int64(11), 12: np.int64(12), 13: np.int64(13), 14: np.int64(14), 15: np.int64(15), 16: np.int64(16), 17: np.int64(17), 18: np.int64(18), 19: np.int64(19), 20: np.int64(20), 21: np.int64(21), 22: np.int64(22), 23: np.int64(23), 24: np.int64(24), 25: np.int64(25), 26: np.int64(26), 27: np.int64(27), 28: np.int64(28), 29: np.int64(29), 30: np.int64(30), 31: np.int64(31), 32: np.int64(32), 33: np.int64(33), 34: np.int64(34), 35: np.int64(35), 36: np.int64(36), 37: np.int64(37), 38: np.int64(38), 39: np.int64(39), 40: np.int64(40), 41: np.int64(41), 42: np.int64(42), 43: np.int64(43), 44: np.int64(44), 45: np.int64(45), 46: np.int64(46), 47: np.int64(47), 48: np.int64(48), 49: np.int64(49), 50: np.int64(50), 51: np.int64(51), 52: np.int64(52), 53: np.int64(53), 54: np.int64(54), 55: np.int64(55), 56: np.int64(57), 57: np.int64(58), 58: np.int64(59), 59: np.int64(60), 60: np.int64(62), 61: np.int64(63), 62: np.int64(64), 63: np.int64(65)}"
Random Forest,0.7877,0.4555,0.8082,0.7877,0.7784,,2.9489,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{0: np.int64(0), 1: np.int64(1), 2: np.int64(2), 3: np.int64(3), 4: np.int64(4), 5: np.int64(5), 6: np.int64(6), 7: np.int64(7), 8: np.int64(8), 9: np.int64(9), 10: np.int64(10), 11: np.int64(11), 12: np.int64(12), 13: np.int64(13), 14: np.int64(14), 15: np.int64(15), 16: np.int64(16), 17: np.int64(17), 18: np.int64(18), 19: np.int64(19), 20: np.int64(20), 21: np.int64(21), 22: np.int64(22), 23: np.int64(23), 24: np.int64(24), 25: np.int64(25), 26: np.int64(26), 27: np.int64(27), 28: np.int64(28), 29: np.int64(29), 30: np.int64(30), 31: np.int64(31), 32: np.int64(32), 33: np.int64(33), 34: np.int64(34), 35: np.int64(35), 36: np.int64(36), 37: np.int64(37), 38: np.int64(38), 39: np.int64(39), 40: np.int64(40), 41: np.int64(41), 42: np.int64(42), 43: np.int64(43), 44: np.int64(44), 45: np.int64(45), 46: np.int64(46), 47: np.int64(47), 48: np.int64(48), 49: np.int64(49), 50: np.int64(50), 51: np.int64(51), 52: np.int64(52), 53: np.int64(53), 54: np.int64(54), 55: np.int64(55), 56: np.int64(57), 57: np.int64(58), 58: np.int64(59), 59: np.int64(60), 60: np.int64(62), 61: np.int64(63), 62: np.int64(64), 63: np.int64(65)}"
Extra Trees,0.8113,0.4523,0.8335,0.8113,0.8131,,1.5351,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{0: np.int64(0), 1: np.int64(1), 2: np.int64(2), 3: np.int64(3), 4: np.int64(4), 5: np.int64(5), 6: np.int64(6), 7: np.int64(7), 8: np.int64(8), 9: np.int64(9), 10: np.int64(10), 11: np.int64(11), 12: np.int64(12), 13: np.int64(13), 14: np.int64(14), 15: np.int64(15), 16: np.int64(16), 17: np.int64(17), 18: np.int64(18), 19: np.int64(19), 20: np.int64(20), 21: np.int64(21), 22: np.int64(22), 23: np.int64(23), 24: np.int64(24), 25: np.int64(25), 26: np.int64(26), 27: np.int64(27), 28: np.int64(28), 29: np.int64(29), 30: np.int64(30), 31: np.int64(31), 32: np.int64(32), 33: np.int64(33), 34: np.int64(34), 35: np.int64(35), 36: np.int64(36), 37: np.int64(37), 38: np.int64(38), 39: np.int64(39), 40: np.int64(40), 41: np.int64(41), 42: np.int64(42), 43: np.int64(43), 44: np.int64(44), 45: np.int64(45), 46: np.int64(46), 47: np.int64(47), 48: np.int64(48), 49: np.int64(49), 50: np.int64(50), 51: np.int64(51), 52: np.int64(52), 53: np.int64(53), 54: np.int64(54), 55: np.int64(55), 56: np.int64(57), 57: np.int64(58), 58: np.int64(59), 59: np.int64(60), 60: np.int64(62), 61: np.int64(63), 62: np.int64(64), 63: np.int64(65)}"
